municipio_sk,cod_mpio,cod_departamento,nom_departamento,nom_municipio,tipo_entidad,longitud,latitud
1,25745,25,CUNDINAMARCA,SIMIJACA,Municipio,-73.850703,5.505231
2,25019,25,CUNDINAMARCA,ALBÁN,Municipio,-74.438261,4.878022
3,25297,25,CUNDINAMARCA,GACHETÁ,Municipio,-73.636377,4.816411
4,25386,25,CUNDINAMARCA,LA MESA,Municipio,-74.461588,4.631028
5,25286,25,CUNDINAMARCA,FUNZA,Municipio,-74.201528,4.710412
6,25214,25,CUNDINAMARCA,COTA,Municipio,-74.102569,4.812564
7,25769,25,CUNDINAMARCA,SUBACHOQUE,Municipio,-74.172773,4.929118
8,25898,25,CUNDINAMARCA,ZIPACÓN,Municipio,-74.379566,4.759932
9,25871,25,CUNDINAMARCA,VILLAGÓMEZ,Municipio,-74.195145,5.273024
10,25053,25,CUNDINAMARCA,ARBELÁEZ,Municipio,-74.414901,4.272534
11,25181,25,CUNDINAMARCA,CHOACHÍ,Municipio,-73.922894,4.527048
12,25183,25,CUNDINAMARCA,CHOCONTÁ,Municipio,-73.683533,5.145224
13,25402,25,CUNDINAMARCA,LA VEGA,Municipio,-74.336885,4.997768
14,25178,25,CUNDINAMARCA,CHIPAQUE,Municipio,-74.044876,4.442671
15,25120,25,CUNDINAMARCA,CABRERA,Municipio,-74.484549,3.985164
16,25518,25,CUNDINAMARCA,PAIME,Municipio,-74.152213,5.370487
17,25524,25,CUNDINAMARCA,PANDI,Municipio,-74.486641,4.190393
18,25312,25,CUNDINAMARCA,GRANADA,Municipio,-74.350766,4.519763
19,25594,25,CUNDINAMARCA,QUETAME,Municipio,-73.863214,4.329884
20,25328,25,CUNDINAMARCA,GUAYABAL DE SÍQUIMA,Municipio,-74.467437,4.877968
21,25530,25,CUNDINAMARCA,PARATEBUENO,Municipio,-73.212825,4.374832
22,25797,25,CUNDINAMARCA,TENA,Municipio,-74.389193,4.655286
23,25126,25,CUNDINAMARCA,CAJICÁ,Municipio,-74.02298,4.920009
24,25777,25,CUNDINAMARCA,SUPATÁ,Municipio,-74.235403,5.06162
25,25572,25,CUNDINAMARCA,PUERTO SALGAR,Municipio,-74.653695,5.465413
26,25426,25,CUNDINAMARCA,MACHETÁ,Municipio,-73.608226,5.08007
27,25473,25,CUNDINAMARCA,MOSQUERA,Municipio,-74.221154,4.70653
28,25815,25,CUNDINAMARCA,TOCAIMA,Municipio,-74.636296,4.459279
29,25817,25,CUNDINAMARCA,TOCANCIPÁ,Municipio,-73.91207,4.964641
30,25326,25,CUNDINAMARCA,GUATAVITA,Municipio,-73.83293,4.935211
31,25001,25,CUNDINAMARCA,AGUA DE DIOS,Municipio,-74.669221,4.375309
32,25878,25,CUNDINAMARCA,VIOTÁ,Municipio,-74.523131,4.43935
33,25653,25,CUNDINAMARCA,SAN CAYETANO,Municipio,-74.024754,5.332938
34,25845,25,CUNDINAMARCA,UNE,Municipio,-74.025183,4.40245
35,25867,25,CUNDINAMARCA,VIANÍ,Municipio,-74.56132,4.875208
36,25658,25,CUNDINAMARCA,SAN FRANCISCO,Municipio,-74.289672,4.972917
37,25743,25,CUNDINAMARCA,SILVANIA,Municipio,-74.405534,4.381981
38,25200,25,CUNDINAMARCA,COGUA,Municipio,-73.978497,5.061842
