persona_sk,sexo_cod,edad,alfabetismo_cod,asistencia_escolar,nivel_educativo_cod,cotiza_pension_cod,actividad_economica_cod,sexo,alfabetismo,nivel_educativo,cotiza_pension,actividad_economica,grupo_edad
1,1,5,1,2,2,2,2,Hombre,Alfabeto,Preescolar,No cotiza,Independiente,6-12
2,1,4,1,2,2,2,2,Hombre,Alfabeto,Preescolar,No cotiza,Independiente,0-5
3,1,6,2,2,1,2,5,Hombre,Analfabeto,Ninguno,No cotiza,Ama de casa,6-12
4,2,1,1,2,2,2,5,Mujer,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
5,2,4,1,1,3,2,4,Mujer,Alfabeto,Primaria,No cotiza,Estudiante,0-5
6,1,4,1,2,2,1,2,Hombre,Alfabeto,Preescolar,Cotiza,Independiente,0-5
7,1,6,1,2,2,2,2,Hombre,Alfabeto,Preescolar,No cotiza,Independiente,6-12
8,1,5,2,2,2,2,1,Hombre,Analfabeto,Preescolar,No cotiza,Empleado,6-12
9,1,5,1,2,2,1,2,Hombre,Alfabeto,Preescolar,Cotiza,Independiente,6-12
10,1,4,1,1,2,2,4,Hombre,Alfabeto,Preescolar,No cotiza,Estudiante,0-5
11,2,2,1,1,2,2,4,Mujer,Alfabeto,Preescolar,No cotiza,Estudiante,0-5
12,1,4,1,1,3,2,4,Hombre,Alfabeto,Primaria,No cotiza,Estudiante,0-5
13,2,6,1,2,2,2,5,Mujer,Alfabeto,Preescolar,No cotiza,Ama de casa,6-12
14,2,5,1,2,2,2,5,Mujer,Alfabeto,Preescolar,No cotiza,Ama de casa,6-12
15,2,6,1,2,3,3,5,Mujer,Alfabeto,Primaria,,Ama de casa,6-12
16,1,6,2,2,1,2,1,Hombre,Analfabeto,Ninguno,No cotiza,Empleado,6-12
17,2,4,1,1,2,2,4,Mujer,Alfabeto,Preescolar,No cotiza,Estudiante,0-5
18,1,1,1,2,2,2,5,Hombre,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
19,2,6,2,2,1,2,5,Mujer,Analfabeto,Ninguno,No cotiza,Ama de casa,6-12
20,1,2,1,2,2,2,5,Hombre,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
21,2,3,1,1,2,2,4,Mujer,Alfabeto,Preescolar,No cotiza,Estudiante,0-5
22,2,5,1,2,2,2,3,Mujer,Alfabeto,Preescolar,No cotiza,Desempleado,6-12
23,1,5,2,2,2,2,2,Hombre,Analfabeto,Preescolar,No cotiza,Independiente,6-12
24,1,2,1,1,2,2,4,Hombre,Alfabeto,Preescolar,No cotiza,Estudiante,0-5
25,2,4,1,2,2,2,5,Mujer,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
26,2,6,2,2,1,2,2,Mujer,Analfabeto,Ninguno,No cotiza,Independiente,6-12
27,1,5,2,2,1,2,2,Hombre,Analfabeto,Ninguno,No cotiza,Independiente,6-12
28,1,3,1,1,2,2,4,Hombre,Alfabeto,Preescolar,No cotiza,Estudiante,0-5
29,1,6,1,2,2,2,5,Hombre,Alfabeto,Preescolar,No cotiza,Ama de casa,6-12
30,1,5,1,2,2,2,3,Hombre,Alfabeto,Preescolar,No cotiza,Desempleado,6-12
31,1,1,1,2,2,2,2,Hombre,Alfabeto,Preescolar,No cotiza,Independiente,0-5
32,1,4,1,2,2,2,4,Hombre,Alfabeto,Preescolar,No cotiza,Estudiante,0-5
33,1,2,1,1,1,2,2,Hombre,Alfabeto,Ninguno,No cotiza,Independiente,0-5
34,1,5,1,2,2,1,3,Hombre,Alfabeto,Preescolar,Cotiza,Desempleado,6-12
35,2,5,1,2,2,1,2,Mujer,Alfabeto,Preescolar,Cotiza,Independiente,6-12
36,1,1,1,1,1,2,2,Hombre,Alfabeto,Ninguno,No cotiza,Independiente,0-5
37,2,4,1,2,2,2,2,Mujer,Alfabeto,Preescolar,No cotiza,Independiente,0-5
38,1,5,1,2,2,2,1,Hombre,Alfabeto,Preescolar,No cotiza,Empleado,6-12
39,2,4,1,2,2,2,3,Mujer,Alfabeto,Preescolar,No cotiza,Desempleado,0-5
40,2,6,2,2,2,2,5,Mujer,Analfabeto,Preescolar,No cotiza,Ama de casa,6-12
41,1,5,1,2,2,2,5,Hombre,Alfabeto,Preescolar,No cotiza,Ama de casa,6-12
42,2,5,1,2,2,2,2,Mujer,Alfabeto,Preescolar,No cotiza,Independiente,6-12
43,1,5,1,2,3,1,2,Hombre,Alfabeto,Primaria,Cotiza,Independiente,6-12
44,1,5,1,2,3,2,2,Hombre,Alfabeto,Primaria,No cotiza,Independiente,6-12
45,2,4,1,2,3,1,2,Mujer,Alfabeto,Primaria,Cotiza,Independiente,0-5
46,2,2,1,1,2,2,2,Mujer,Alfabeto,Preescolar,No cotiza,Independiente,0-5
47,2,5,1,2,3,2,3,Mujer,Alfabeto,Primaria,No cotiza,Desempleado,6-12
48,2,3,1,2,2,2,4,Mujer,Alfabeto,Preescolar,No cotiza,Estudiante,0-5
49,1,6,1,2,2,3,5,Hombre,Alfabeto,Preescolar,,Ama de casa,6-12
50,2,1,2,2,1,2,5,Mujer,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
51,2,4,1,1,3,2,2,Mujer,Alfabeto,Primaria,No cotiza,Independiente,0-5
52,2,2,2,1,1,2,5,Mujer,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
53,1,4,1,1,2,1,2,Hombre,Alfabeto,Preescolar,Cotiza,Independiente,0-5
54,1,6,1,2,2,2,1,Hombre,Alfabeto,Preescolar,No cotiza,Empleado,6-12
55,2,2,1,1,2,2,5,Mujer,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
56,1,3,1,2,2,2,4,Hombre,Alfabeto,Preescolar,No cotiza,Estudiante,0-5
57,1,4,1,2,2,2,3,Hombre,Alfabeto,Preescolar,No cotiza,Desempleado,0-5
58,1,6,1,2,2,1,2,Hombre,Alfabeto,Preescolar,Cotiza,Independiente,6-12
59,1,4,1,2,3,2,2,Hombre,Alfabeto,Primaria,No cotiza,Independiente,0-5
60,1,6,1,2,2,2,3,Hombre,Alfabeto,Preescolar,No cotiza,Desempleado,6-12
61,2,1,1,1,1,2,5,Mujer,Alfabeto,Ninguno,No cotiza,Ama de casa,0-5
62,1,6,1,2,2,3,1,Hombre,Alfabeto,Preescolar,,Empleado,6-12
63,1,5,1,2,3,2,1,Hombre,Alfabeto,Primaria,No cotiza,Empleado,6-12
64,2,5,1,2,2,1,5,Mujer,Alfabeto,Preescolar,Cotiza,Ama de casa,6-12
65,2,3,1,1,2,1,4,Mujer,Alfabeto,Preescolar,Cotiza,Estudiante,0-5
66,2,5,1,2,3,1,2,Mujer,Alfabeto,Primaria,Cotiza,Independiente,6-12
67,2,1,1,2,2,2,2,Mujer,Alfabeto,Preescolar,No cotiza,Independiente,0-5
68,1,4,1,2,2,2,1,Hombre,Alfabeto,Preescolar,No cotiza,Empleado,0-5
69,2,6,1,2,2,3,5,Mujer,Alfabeto,Preescolar,,Ama de casa,6-12
70,2,4,1,2,2,2,1,Mujer,Alfabeto,Preescolar,No cotiza,Empleado,0-5
71,2,6,2,2,2,2,1,Mujer,Analfabeto,Preescolar,No cotiza,Empleado,6-12
72,1,4,1,2,2,2,5,Hombre,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
73,2,4,1,2,3,2,5,Mujer,Alfabeto,Primaria,No cotiza,Ama de casa,0-5
74,1,5,2,2,1,2,1,Hombre,Analfabeto,Ninguno,No cotiza,Empleado,6-12
75,2,5,1,2,1,2,5,Mujer,Alfabeto,Ninguno,No cotiza,Ama de casa,6-12
76,2,5,2,2,1,2,1,Mujer,Analfabeto,Ninguno,No cotiza,Empleado,6-12
77,1,3,1,2,2,2,5,Hombre,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
78,2,5,1,2,1,2,3,Mujer,Alfabeto,Ninguno,No cotiza,Desempleado,6-12
79,1,2,1,2,2,2,1,Hombre,Alfabeto,Preescolar,No cotiza,Empleado,0-5
80,2,4,1,2,3,2,2,Mujer,Alfabeto,Primaria,No cotiza,Independiente,0-5
81,2,6,1,2,1,2,5,Mujer,Alfabeto,Ninguno,No cotiza,Ama de casa,6-12
82,2,3,1,2,2,2,5,Mujer,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
83,2,2,1,2,2,2,4,Mujer,Alfabeto,Preescolar,No cotiza,Estudiante,0-5
84,1,4,2,2,1,2,5,Hombre,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
85,2,5,2,2,1,2,3,Mujer,Analfabeto,Ninguno,No cotiza,Desempleado,6-12
86,1,5,1,2,2,3,2,Hombre,Alfabeto,Preescolar,,Independiente,6-12
87,1,2,1,1,2,2,2,Hombre,Alfabeto,Preescolar,No cotiza,Independiente,0-5
88,1,5,2,2,1,2,3,Hombre,Analfabeto,Ninguno,No cotiza,Desempleado,6-12
89,2,5,1,2,3,1,5,Mujer,Alfabeto,Primaria,Cotiza,Ama de casa,6-12
90,2,6,1,2,2,2,1,Mujer,Alfabeto,Preescolar,No cotiza,Empleado,6-12
91,2,4,1,2,3,2,3,Mujer,Alfabeto,Primaria,No cotiza,Desempleado,0-5
92,2,5,1,2,3,2,5,Mujer,Alfabeto,Primaria,No cotiza,Ama de casa,6-12
93,1,6,1,1,3,3,5,Hombre,Alfabeto,Primaria,,Ama de casa,6-12
94,1,6,1,2,1,2,1,Hombre,Alfabeto,Ninguno,No cotiza,Empleado,6-12
95,1,2,1,1,2,2,5,Hombre,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
96,1,6,1,2,3,3,5,Hombre,Alfabeto,Primaria,,Ama de casa,6-12
97,2,5,2,2,1,2,5,Mujer,Analfabeto,Ninguno,No cotiza,Ama de casa,6-12
98,1,5,2,2,1,2,5,Hombre,Analfabeto,Ninguno,No cotiza,Ama de casa,6-12
99,2,4,1,1,3,1,2,Mujer,Alfabeto,Primaria,Cotiza,Independiente,0-5
100,1,5,1,2,1,2,3,Hombre,Alfabeto,Ninguno,No cotiza,Desempleado,6-12
101,1,1,2,1,1,2,5,Hombre,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
102,2,1,2,1,1,2,5,Mujer,Analfabeto,Ninguno,No cotiza,Ama de casa,0-5
103,2,6,2,2,1,2,1,Mujer,Analfabeto,Ninguno,No cotiza,Empleado,6-12
104,2,4,1,1,3,2,5,Mujer,Alfabeto,Primaria,No cotiza,Ama de casa,0-5
105,2,4,1,2,2,1,2,Mujer,Alfabeto,Preescolar,Cotiza,Independiente,0-5
106,2,2,1,2,2,2,5,Mujer,Alfabeto,Preescolar,No cotiza,Ama de casa,0-5
107,1,4,1,2,3,1,2,Hombre,Alfabeto,Primaria,Cotiza,Independiente,0-5
108,2,2,2,1,2,2,5,Mujer,Analfabeto,Preescolar,No cotiza,Ama de casa,0-5
109,1,6,1,2,1,2,2,Hombre,Alfabeto,Ninguno,No cotiza,Independiente,6-12
110,1,2,2,1,1,2,2,Hombre,Analfabeto,Ninguno,No cotiza,Independiente,0-5
111,1,4,1,2,3,2,3,Hombre,Alfabeto,Primaria,No cotiza,Desempleado,0-5
112,2,2,2,1,2,2,4,Mujer,Analfabeto,Preescolar,No cotiza,Estudiante,0-5
113,2,5,1,1,2,1,2,Mujer,Alfabeto,Preescolar,Cotiza,Independiente,6-12
114,1,6,1,2,3,2,4,Hombre,Alfabeto,Primaria,No cotiza,Estudiante,6-12
115,2,5,1,1,2,2,5,Mujer,Alfabeto,Preescolar,No cotiza,Ama de casa,6-12
116,1,3,2,2,2,2,2,Hombre,Analfabeto,Preescolar,No cotiza,Independiente,0-5
117,1,2,1,2,2,2,4,Hombre,Alfabeto,Preescolar,No cotiza,Estudiante,0-5
