tiempo_sk,fecha_registro,anio,semestre,trimestre,mes,dia,nombre_mes,es_barrido_iv
1,2021-01-01,2021,2021-S1,2021-Q1,1,1,January,1
2,2021-01-02,2021,2021-S1,2021-Q1,1,2,January,1
3,2021-01-03,2021,2021-S1,2021-Q1,1,3,January,1
4,2021-01-04,2021,2021-S1,2021-Q1,1,4,January,1
5,2021-01-05,2021,2021-S1,2021-Q1,1,5,January,1
6,2021-01-06,2021,2021-S1,2021-Q1,1,6,January,1
7,2021-01-07,2021,2021-S1,2021-Q1,1,7,January,1
8,2021-01-08,2021,2021-S1,2021-Q1,1,8,January,1
9,2021-01-09,2021,2021-S1,2021-Q1,1,9,January,1
10,2021-01-10,2021,2021-S1,2021-Q1,1,10,January,1
11,2021-01-11,2021,2021-S1,2021-Q1,1,11,January,1
12,2021-01-12,2021,2021-S1,2021-Q1,1,12,January,1
13,2021-01-13,2021,2021-S1,2021-Q1,1,13,January,1
14,2021-01-14,2021,2021-S1,2021-Q1,1,14,January,1
15,2021-01-15,2021,2021-S1,2021-Q1,1,15,January,1
16,2021-01-16,2021,2021-S1,2021-Q1,1,16,January,1
17,2021-01-17,2021,2021-S1,2021-Q1,1,17,January,1
18,2021-01-18,2021,2021-S1,2021-Q1,1,18,January,1
19,2021-01-19,2021,2021-S1,2021-Q1,1,19,January,1
20,2021-01-20,2021,2021-S1,2021-Q1,1,20,January,1
21,2021-01-21,2021,2021-S1,2021-Q1,1,21,January,1
22,2021-01-22,2021,2021-S1,2021-Q1,1,22,January,1
23,2021-01-23,2021,2021-S1,2021-Q1,1,23,January,1
24,2021-01-24,2021,2021-S1,2021-Q1,1,24,January,1
25,2021-01-25,2021,2021-S1,2021-Q1,1,25,January,1
26,2021-01-26,2021,2021-S1,2021-Q1,1,26,January,1
27,2021-01-27,2021,2021-S1,2021-Q1,1,27,January,1
28,2021-01-28,2021,2021-S1,2021-Q1,1,28,January,1
29,2021-01-29,2021,2021-S1,2021-Q1,1,29,January,1
30,2021-01-30,2021,2021-S1,2021-Q1,1,30,January,1
31,2021-01-31,2021,2021-S1,2021-Q1,1,31,January,1
32,2021-02-01,2021,2021-S1,2021-Q1,2,1,February,1
33,2021-02-02,2021,2021-S1,2021-Q1,2,2,February,1
