persona_fact_sk,municipio_sk,persona_sk,sisben_sk,zona_sk,tiempo_sk,Nivel,cluster_kmeans,H_5,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,ipm_score,es_pobre_ipm
1,1,1,12,1,1,7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,4,1
2,2,2,16,1,1,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
3,3,3,7,2,1,2,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,6,1
4,4,2,13,2,1,13,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,7,1
5,5,4,11,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
6,6,5,13,2,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,6,13,2,1,15,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8,7,5,13,1,1,16,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,1
9,8,7,22,1,1,18,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,1
10,9,8,7,1,1,2,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1
11,10,9,17,2,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,11,10,9,1,1,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0
13,12,11,10,1,1,5,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1
14,13,12,22,2,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
15,14,13,18,2,1,6,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,5,1
16,15,14,13,2,1,1,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1
17,7,15,23,2,1,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,16,16,4,2,1,4,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,7,1
19,17,17,10,2,1,5,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1
20,18,18,7,1,1,2,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1
21,19,4,8,1,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,1
